Entry: bacʼohya· | Absolutive: bacʼo hya· | Generated Absolutive: bacʼohya·
Entry: *dihṭʰe | Absolutive: dihṭʰe | Generated Absolutive: dihṭʰew
Entry: *dikʼahci | Absolutive: diʔkʼahciw | Generated Absolutive: dikʼahciw
Entry: *ditayʔta | Absolutive: dihtayʔtaw | Generated Absolutive: ditayʔtaw
Entry: *diʔcʼabatad | Absolutive: diʔcʼaba·tadu | Generated Absolutive: diʔcʼabatadu
Entry: *diʔcʼenhma | Absolutive: diʔcʼenmaw | Generated Absolutive: diʔcʼenhmaw
Entry: *diʔkʼanh | Absolutive: diʔkʼanh- | Generated Absolutive: diʔkʼanʔ
Entry: *di·cʼid | Absolutive: di·cʼidu | Generated Absolutive: dicʼi·du
Entry: *di·sqʰac | Absolutive: di·sqʰaʔ | Generated Absolutive: disqʰaʔ
Entry: *dohkodohkotad | Absolutive: dohkodokota·du | Generated Absolutive: dohkodohkota·du
Entry: *dohpola·tad | Absolutive: dohpolha·ta·du | Generated Absolutive: dohpola·tadu
Entry: *dohqoyqa | Absolutive: dohqo·qaw | Generated Absolutive: dohqoyqaw
Entry: *dosokʼot | Absolutive: dosokʼotʔ | Generated Absolutive: dosokʼoʔ
Entry: *doʔkʼoyad | Absolutive: doʔkʼoyʔ | Generated Absolutive: doʔkʼoya·du
Entry: *doʔqʼoʔdiwad | Absolutive: doʔqʼoʔdowa·du | Generated Absolutive: doʔqʼoʔdiwa·du
Entry: *doʔṭʼo· | Absolutive: doʔṭʼo· | Generated Absolutive: doʔṭʼow
Entry: *ducʼoqʰot | Absolutive: docʼoqʰoʔ | Generated Absolutive: ducʼoqʰoʔ
Entry: *duhcʰaducʰatad | Absolutive: duhcʰaducʰaw | Generated Absolutive: duhcʰaducʰata·du
Entry: *duhkela·tad | Absolutive: duhkelata·du | Generated Absolutive: duhkela·tadu
Entry: *duhkʰeyʔcicʼ | Absolutive: duhkʰecyʔciʔ | Generated Absolutive: duhkʰeyʔciʔ
Entry: *duhmudumutad | Absolutive: duhmudumutadu | Generated Absolutive: duhmudumuta·du
Entry: *duhpitʼci | Absolutive: duhpitʼci | Generated Absolutive: duhpitʼciw
Entry: *duhpʰa·šma | Absolutive: duhpʰaš | Generated Absolutive: duhpʰašmaw
Entry: *duhpʰihpʰi | Absolutive: duhpʰihpʰiʔ | Generated Absolutive: duhpʰihpʰiw
Entry: *duhsihsi | Absolutive: duhsiw | Generated Absolutive: duhsihsiw
Entry: *duhṭʰahṭʰac | Absolutive: duhṭʰahṭʰaw | Generated Absolutive: duhṭʰahṭʰaʔ
Entry: *duhyew | Absolutive: duhyew | Generated Absolutive: duhyewʔ
Entry: *dukʼahci | Absolutive: duʔkʼahciw | Generated Absolutive: dukʼahciw
Entry: *dukʼuyta | Absolutive: dukʼuyʔtaw | Generated Absolutive: dukʼuytaw
Entry: dul qʰaʔa·li | Absolutive: dulqʰaʔa·li | Generated Absolutive: dul qʰaʔa·li
Entry: *dulaṭʼa·li | Absolutive: dulaṭʼa·li | Generated Absolutive: dulaṭʼa·liw
Entry: *dulucʼu· | Absolutive: dalucʼuw | Generated Absolutive: dulucʼuw
Entry: *duqʰaltacʼ | Absolutive: duqʰaltacʼ | Generated Absolutive: duqʰaltaʔ
Entry: *dutʼehnay | Absolutive: duʔtʼehniw | Generated Absolutive: dutʼehnayʔ
Entry: *duʔyaqacʼ | Absolutive: duʔyaqacʼ | Generated Absolutive: duʔyaqaʔ
Entry: *duʔyaqad | Absolutive: duʔyaqadu | Generated Absolutive: duʔyaqa·du
Entry: *duʔya·qacʼ | Absolutive: duʔya·qacʼ | Generated Absolutive: duʔya·qaʔ
Entry: *duʔya·qad | Absolutive: duʔya·qadu | Generated Absolutive: duʔyaqa·du
Entry: *duʔya·qala | Absolutive: duʔya·qalaw | Generated Absolutive: duʔyaqa·law
Entry: *hacʼah | Absolutive: hacʼah | Generated Absolutive: hacʼaʔ
Entry: háê | Absolutive: háê | Generated Absolutive: á
Entry: *hahpʰohpʰo | Absolutive: hahpohpoyiʔ | Generated Absolutive: hahpʰohpʰow
Entry: *hahti | Absolutive: hahtibiʔ | Generated Absolutive: hahtiw
Entry: *hakʼahci | Absolutive: haʔkʼahciw | Generated Absolutive: hakʼahciw
Entry: *hatayʔta | Absolutive: hahtayʔtaw | Generated Absolutive: hatayʔtaw
Entry: *hatohato | Absolutive: hatohato | Generated Absolutive: hatohatow
Entry: haʔcʼa | Absolutive: haʔcʼaw | Generated Absolutive: haʔcʼa
