Index: 2032 | Entry: *duhṭʰe | Pronunciation: duhṭʰe´ | Generated Pronunciation: duhṭʰéw
Index: 2092 | Entry: dusʼa·sʼay | Pronunciation: dusʼá·sʼay | Generated Pronunciation: dusʼa·sʼáy
Index: 2155 | Entry: *duʔne·cicʼ | Pronunciation: duʔné·ciʔ | Generated Pronunciation: duʔne·cíʔ
Index: 2178 | Entry: *duʔṭʼuṭʰuc | Pronunciation: duʔṭʼúṭʰuʔ | Generated Pronunciation: duʔṭʼuṭʰúʔ
Index: 2186 | Entry: *du·bayhcicʼ | Pronunciation: dú·bayhciʔ | Generated Pronunciation: du·báyhciʔ
Index: 2187 | Entry: ha cʰo· | Pronunciation: hacʰó· | Generated Pronunciation: ha cʰo·´
Index: 2201 | Entry: *hacʼahtim | Pronunciation: hacʼáhtim | Generated Pronunciation: hacʼáhtimʔ
Index: 2292 | Entry: hasoyo | Pronunciation: hasóyo | Generated Pronunciation: hasoyó
Index: 2296 | Entry: *hasʼu·l | Pronunciation: hasʼuʔ´ | Generated Pronunciation: hasʼulʔ´
Index: 2298 | Entry: haša·yol | Pronunciation: hašá·yol | Generated Pronunciation: haša·yól
Index: 2299 | Entry: haša·yul | Pronunciation: hašá·yul | Generated Pronunciation: haša·yúl
Index: 2300 | Entry: *hašohli | Pronunciation: hašohlíw | Generated Pronunciation: hašóhliw
Index: 2378 | Entry: haʔṭʼo·lemenʔ | Pronunciation: haʔṭʼó·lemenʔ | Generated Pronunciation: haʔṭʼo·leménʔ
Index: 2380 | Entry: *haʔṭʼuṭʰu | Pronunciation: haʔṭʼúṭʰuw | Generated Pronunciation: haʔṭʼuṭʰúw
Index: 2405 | Entry: *hcʰam | Pronunciation: hcʰámʔ | Generated Pronunciation: cʰámʔ
Index: 2420 | Entry: hibu· wi | Pronunciation: hibu· wi | Generated Pronunciation: hibu· wi´
Index: 2466 | Entry: hihlaw ʔqan | Pronunciation: hihláw ʔqan | Generated Pronunciation: híhlaw ʔqan
Index: 2566 | Entry: hisʼuhši | Pronunciation: hisʼuhši´ | Generated Pronunciation: hisʼúhši
Index: 2609 | Entry: *hiʔkʼu·ma | Pronunciation: hiʔkʼú·maw | Generated Pronunciation: hiʔkʼu·máw
Index: 2666 | Entry: *hoṭʰi·c | Pronunciation: hoṭʰiʔ´ | Generated Pronunciation: hoṭʰíʔ
Index: 2668 | Entry: *hoyhcʰoca·tad | Pronunciation: hóyhcʰoca·tadu | Generated Pronunciation: hoyhcʰocá·tadu
Index: 2669 | Entry: *hoyhmucʼ | Pronunciation: hóyhmuʔ | Generated Pronunciation: hoyhmúʔ
Index: 2680 | Entry: *hqa | Pronunciation: qaw | Generated Pronunciation: qáw
Index: 2686 | Entry: hqahmat | Pronunciation: qahmáʔ | Generated Pronunciation: qáhmaʔ
Index: 2699 | Entry: *hqa·d | Pronunciation: qa·du´ | Generated Pronunciation: qá·du
Index: 2728 | Entry: *htenhcicʼ | Pronunciation: ténhcíʔ | Generated Pronunciation: ténhciʔ
Index: 2756 | Entry: kacaya | Pronunciation: kacáya | Generated Pronunciation: kacayá
Index: 2760 | Entry: kani· | Pronunciation: kaní· | Generated Pronunciation: kani·´
Index: 2765 | Entry: kato·te | Pronunciation: kató·te | Generated Pronunciation: kato·te´
Index: 2777 | Entry: ka·ka | Pronunciation: ká·ka | Generated Pronunciation: ka·ka´
Index: 2781 | Entry: *kelcicʼ | Pronunciation: kelcíʔ | Generated Pronunciation: kélciʔ
Index: 2796 | Entry: *kumhmac | Pronunciation: kúmhmaʔ | Generated Pronunciation: kumhmáʔ
Index: 2797 | Entry: *kumhmacʰqa | Pronunciation: kúmhmacʰqaw | Generated Pronunciation: kumhmácʰqaw
Index: 2802 | Entry: kʰela | Pronunciation: kʰelá | Generated Pronunciation: kʰela´
Index: 2805 | Entry: kʰeya | Pronunciation: kʰeyá | Generated Pronunciation: kʰeya´
Index: 2812 | Entry: kʰunhwadu | Pronunciation: kʰúnhwadu | Generated Pronunciation: kʰunhwadú
Index: 2815 | Entry: kʼahša·ya | Pronunciation: kʼahšá·ya | Generated Pronunciation: kʼahša·ya´
Index: 2825 | Entry: kʼaṭʰide | Pronunciation: kʼáṭʰide | Generated Pronunciation: kʼaṭʰidé
Index: 2846 | Entry: *kʼoʔwikʼoʔwi | Pronunciation: kʼoʔwíkʼoʔwiw | Generated Pronunciation: kʼoʔwikʼóʔwiw
Index: 2847 | Entry: kʼude | Pronunciation: kʼúde | Generated Pronunciation: kʼude´
Index: 2861 | Entry: li·ma | Pronunciation: lí·ma | Generated Pronunciation: li·ma´
Index: 2898 | Entry: maci | Pronunciation: maci | Generated Pronunciation: maci´
Index: 2906 | Entry: macʰiṭiʔṭi | Pronunciation: macʰíṭiʔṭi | Generated Pronunciation: macʰiṭíʔṭi
Index: 3005 | Entry: makʰle | Pronunciation: mákʰle | Generated Pronunciation: makʰle´
Index: 3007 | Entry: makʼadeʔkʰe | Pronunciation: makʼadéʔkʰa | Generated Pronunciation: makʼadéʔkʰe
Index: 3022 | Entry: *mala·qac | Pronunciation: mala·qáʔ | Generated Pronunciation: malá·qaʔ
Index: 3042 | Entry: *mašohli | Pronunciation: mašohlíw | Generated Pronunciation: mašóhliw
Index: 3049 | Entry: mata·me | Pronunciation: máta·me | Generated Pronunciation: mata·me´
Index: 3050 | Entry: mata·menʔ | Pronunciation: matá·menʔ | Generated Pronunciation: mata·ménʔ
Index: 3052 | Entry: mati·yu | Pronunciation: matí·yu | Generated Pronunciation: mati·yu´
Index: 3058 | Entry: *matʰma | Pronunciation: mátʰmaw | Generated Pronunciation: matʰmáw
Index: 3131 | Entry: *ma·d | Pronunciation: ma·du | Generated Pronunciation: ma·du´
Index: 3132 | Entry: ma·ma | Pronunciation: má·ma | Generated Pronunciation: ma·ma´
Index: 3155 | Entry: mice·ki | Pronunciation: mice·kí | Generated Pronunciation: mice·ki´
Index: 3166 | Entry: *mid | Pronunciation: midu´ | Generated Pronunciation: midú
Index: 3170 | Entry: miduwe | Pronunciation: midúwe | Generated Pronunciation: miduwé
Index: 3229 | Entry: mihtenʔ | Pronunciation: mihténʔ | Generated Pronunciation: míhtenʔ
Index: 3283 | Entry: *misʼu·l | Pronunciation: misʼuʔ´ | Generated Pronunciation: misʼulʔ´
Index: 3288 | Entry: *mitaduc | Pronunciation: mitadúʔ | Generated Pronunciation: mitáduʔ
Index: 3289 | Entry: *mitala | Pronunciation: mitaláw | Generated Pronunciation: mitálaw
Index: 3290 | Entry: *mitaloq | Pronunciation: mitalóʔ | Generated Pronunciation: mitáloʔ
Index: 3291 | Entry: mito | Pronunciation: mito´ | Generated Pronunciation: mitó
Index: 3304 | Entry: miʔkʰe | Pronunciation: miʔkʰe´ | Generated Pronunciation: míʔkʰe
Index: 3315 | Entry: *miʔne·cicʼ | Pronunciation: miʔné·ciʔ | Generated Pronunciation: miʔne·cíʔ
Index: 3335 | Entry: *miʔṭʼuṭʰu | Pronunciation: miʔṭʼúṭʰuw | Generated Pronunciation: miʔṭʼuṭʰúw
Index: 3388 | Entry: *mokʼo·ṭatad | Pronunciation: mokʼoṭá·tadu | Generated Pronunciation: mokʼoṭa·tadú
Index: 3396 | Entry: *mošohli | Pronunciation: mošohlíw | Generated Pronunciation: mošóhliw
Index: 3518 | Entry: *muhṭʰe | Pronunciation: muhṭʰe´ | Generated Pronunciation: muhṭʰéw
Index: 3563 | Entry: *mupʰu· | Pronunciation: mupʰuw | Generated Pronunciation: mupʰuw´
Index: 3604 | Entry: mutʰu·nu | Pronunciation: mutʰu·nú | Generated Pronunciation: mutʰu·nu´
Index: 3627 | Entry: *muʔcʼaʔcʼa | Pronunciation: muʔcʼáʔcʼaʔ | Generated Pronunciation: muʔcʼáʔcʼaw
Index: 3681 | Entry: na·mi | Pronunciation: ná·mi | Generated Pronunciation: na·mi´
Index: 3685 | Entry: na·waš | Pronunciation: ná·waš | Generated Pronunciation: na·wáš
