Entry: *bahkʰeyʔcicʼ | Absolutive: bahkʰeyʔciʔ | Generated Absolutive: bahkʰeyʔciʔ
Entry: bahkʰoy | Absolutive: bahkʰoy | Generated Absolutive: bahkʰoyʔ
Entry: *bahkʰuhkʰu | Absolutive: bahkʰuhkʰuw | Generated Absolutive: bahkʰuhkʰuw
Entry: bahlaw | Absolutive: bahlaw | Generated Absolutive: bahlawʔ
Entry: *bahlokʼ | Absolutive: bahloʔ | Generated Absolutive: bahloʔ
Entry: bahloq | Absolutive: bahloʔ | Generated Absolutive: bahloʔ
Entry: *bahlud | Absolutive: bahludu | Generated Absolutive: bahludu
Entry: *bahlu·c | Absolutive: bahluʔ | Generated Absolutive: bahluʔ
Entry: *bahlu·m | Absolutive: bahlumʔ | Generated Absolutive: bahlumʔ
Entry: *bahmiy | Absolutive: bahmiyʔ | Generated Absolutive: bahmiyʔ
Entry: *bahmohmo | Absolutive: bahmohmow | Generated Absolutive: bahmohmow
Entry: *bahmu·l | Absolutive: bahmulʔ | Generated Absolutive: bahmulʔ
Entry: *bahnat | Absolutive: bahnaʔ | Generated Absolutive: bahnaʔ
Entry: *bahnatacʼ | Absolutive: bahnataʔ | Generated Absolutive: bahnataʔ
Entry: *bahnataʔ | Absolutive: bahnataʔ | Generated Absolutive: bahnataʔ
Entry: *bahnaticʼ | Absolutive: bahnatiʔ | Generated Absolutive: bahnatiʔ
Entry: *bahol | Absolutive: baholʔ | Generated Absolutive: baholʔ
Entry: *baholma | Absolutive: baholmaw | Generated Absolutive: baholmaw
Entry: *bahpahpa | Absolutive: bahpahpaw | Generated Absolutive: bahpahpaw
Entry: *bahpola·tad | Absolutive: bahpola·tadu | Generated Absolutive: bahpola·tadu
Entry: *bahpolh | Absolutive: bahpolʔ | Generated Absolutive: bahpolʔ
Entry: *bahpʰa | Absolutive: bahpʰaw | Generated Absolutive: bahpʰaw
Entry: *bahpʰabahpʰa | Absolutive: bahpʰabahpʰaw | Generated Absolutive: bahpʰabahpʰaw
Entry: *bahpʰatʼci | Absolutive: bahpʰatʼciw | Generated Absolutive: bahpʰatʼciw
Entry: *bahpʰibapʰitad | Absolutive: bahpʰibapʰita·du | Generated Absolutive: bahpʰibapʰita·du
Entry: *bahpʰihpʰi | Absolutive: bahpʰihpʰiʔ | Generated Absolutive: bahpʰihpʰiw
Entry: *bahpʰukʼut | Absolutive: bahpʰukʼuʔ | Generated Absolutive: bahpʰukʼuʔ
Entry: *bahpʰuṭay | Absolutive: bapʰuṭayʔ | Generated Absolutive: bahpʰuṭayʔ
Entry: *bahpʰuṭʼ | Absolutive: bahpʰuʔ | Generated Absolutive: bahpʰuʔ
Entry: bahqa | Absolutive: bahqa | Generated Absolutive: bahqaw
Entry: *bahqalh | Absolutive: None | Generated Absolutive: bahqalʔ
Entry: *bahqʰabahqʰa | Absolutive: bahqʰabahqʰaw | Generated Absolutive: bahqʰabahqʰaw
Entry: *bahqʰabaqʰa·duc | Absolutive: None | Generated Absolutive: bahqʰabaqʰa·duʔ
Entry: *bahqʰahqʰa | Absolutive: bahqʰahqʰaw | Generated Absolutive: bahqʰahqʰaw
Entry: bahqʰamʔ | Absolutive: bahqʰamʔ | Generated Absolutive: bahqʰamʔ
Entry: *bahqʰayad | Absolutive: bahqʰayadu | Generated Absolutive: bahqʰaya·du
Entry: *bahqʰolh | Absolutive: bahqʰolʔ | Generated Absolutive: bahqʰolʔ
Entry: bahqʰoʔmacʼ | Absolutive: None | Generated Absolutive: bahqʰoʔmaʔ
Entry: *bahqʰoʔmacʼahqa | Absolutive: bahqʰoʔmacʼahqaw | Generated Absolutive: bahqʰoʔmacʼahqaw
Entry: *bahqʰoʔmacʼaq | Absolutive: None | Generated Absolutive: bahqʰoʔmacʼaʔ
Entry: *bahsam | Absolutive: bahsam | Generated Absolutive: bahsamʔ
Entry: *bahsem | Absolutive: bahsemʔ | Generated Absolutive: bahsemʔ
Entry: *bahsetʼ | Absolutive: bahseʔ | Generated Absolutive: bahseʔ
Entry: *bahsikʼit | Absolutive: bahsikʼiʔ | Generated Absolutive: bahsikʼiʔ
Entry: *bahsom | Absolutive: bahsomʔ | Generated Absolutive: bahsomʔ
Entry: bahsoq | Absolutive: bahsoʔ | Generated Absolutive: bahsoʔ
Entry: bahša | Absolutive: bahša | Generated Absolutive: bahšaw
Entry: *bahšahša | Absolutive: bahšahšaw | Generated Absolutive: bahšahšaw
Entry: *bahše | Absolutive: bahšew | Generated Absolutive: bahšew
Entry: *bahšetacʼ | Absolutive: bahšetaʔ | Generated Absolutive: bahšetaʔ
Entry: *bahšon | Absolutive: bahšonʔ | Generated Absolutive: bahšonʔ
Entry: *bahšona·tad | Absolutive: bašona·tadu | Generated Absolutive: bahšona·tadu
Entry: *bahšukʼuṭ | Absolutive: bahšukʼuʔ | Generated Absolutive: bahšukʼuʔ
Entry: *bahtahta | Absolutive: bahtahtaw | Generated Absolutive: bahtahtaw
Entry: *bahtay | Absolutive: bahtayʔ | Generated Absolutive: bahtayʔ
Entry: *bahtehte | Absolutive: bahtehtew | Generated Absolutive: bahtehtew
Entry: *bahtena·la | Absolutive: bahtena·law | Generated Absolutive: bahtena·law
Entry: *bahtsi | Absolutive: bahtsiw | Generated Absolutive: bahtsiw
Entry: *bahtsitad | Absolutive: bahtsitadu | Generated Absolutive: bahtsita·du
Entry: bahtʰibaṭʰa·du | Absolutive: bahtʰibaṭʰa·du | Generated Absolutive: bahtʰibaṭʰa·duw
Entry: *bahṭekeye | Absolutive: bahṭekeyew | Generated Absolutive: bahṭekeyew
Entry: *bahṭilh | Absolutive: bahṭilʔ | Generated Absolutive: bahṭilʔ
Entry: *bahṭolh | Absolutive: bahṭolʔ | Generated Absolutive: bahṭolʔ
Entry: *bahṭonṭolo | Absolutive: bahṭonṭolow | Generated Absolutive: bahṭonṭolow
Entry: *bahṭoy | Absolutive: bahṭoyʔ | Generated Absolutive: bahṭoyʔ
Entry: *bahṭʰa | Absolutive: bahṭʰaw | Generated Absolutive: bahṭʰaw
Entry: *bahṭʰahṭʰac | Absolutive: bahṭʰahṭʰaw | Generated Absolutive: bahṭʰahṭʰaʔ
Entry: bahṭʰe | Absolutive: bahṭʰe | Generated Absolutive: bahṭʰew
Entry: bahṭʰucʼe· | Absolutive: bahṭʰucʼe· | Generated Absolutive: bahṭʰucʼew
Entry: *bahwaṭʰ | Absolutive: bahwaʔ | Generated Absolutive: bahwaʔ
Entry: *bahwehwe | Absolutive: bahwehwew | Generated Absolutive: bahwehwew
Entry: *bahwel | Absolutive: bahwelʔ | Generated Absolutive: bahwelʔ
