Entry: *qahpola·tad | Absolutive: qahpola·tad | Generated Absolutive: qahpola·tadu
Entry: *qahpʰula·tad | Absolutive: qahpʰula·tad | Generated Absolutive: qahpʰula·tadu
Entry: *qaqawa·tad | Absolutive: qaqawá·tadu | Generated Absolutive: qaqawa·tadu
Entry: *sihcʰasicʰatad | Absolutive: sihcʰasihcʰaw | Generated Absolutive: sihcʰasicʰata·du
Entry: *šaʔqʼoʔdiwad | Absolutive: šaʔqʼoʔdowa·du | Generated Absolutive: šaʔqʼoʔdiwa·du
Entry: *šuhmušumutad | Absolutive: šuhmušumutadu | Generated Absolutive: šuhmušumuta·du
Entry: *šukʰe·nʔwad | Absolutive: šukʰenʔwad | Generated Absolutive: šukʰenʔwadu
Entry: *šuʔkʼišukʼitad | Absolutive: šuʔkʼišukʼiʔ | Generated Absolutive: šuʔkʼišukʼita·du
Entry: *šuʔlušulutad | Absolutive: šuʔlušúluta·du | Generated Absolutive: šuʔlušuluta·du
Entry: *ʔqʼoʔdiwad | Absolutive: ʔqʼoʔdowa·du | Generated Absolutive: qʼoʔdiwa·du
