Entry: buhqʰal | Absolutive: buhqʰal | Generated Absolutive: buhqʰalʔ
Entry: buʔṭʼu | Absolutive: buʔṭʼu | Generated Absolutive: buʔṭʼuw
Entry: cacʰu· | Absolutive: cacʰu· | Generated Absolutive: cacʰuw
Entry: cahla· | Absolutive: cahla· | Generated Absolutive: cahlaw
Entry: *cahmucamutad | Absolutive: cahmucamutadu | Generated Absolutive: cahmucamuta·du
Entry: cahno | Absolutive: cahno | Generated Absolutive: cahnow
Entry: *cahpihpi | Absolutive: cahpihpi | Generated Absolutive: cahpihpiw
Entry: *cahpitʼci | Absolutive: cahpitʼ | Generated Absolutive: cahpitʼciw
Entry: *cahpʰaqʼ | Absolutive: cahpʰaqʼciw | Generated Absolutive: cahpʰaʔ
Entry: *cahpʰihpʰi | Absolutive: cahpʰihpʰiʔ | Generated Absolutive: cahpʰihpʰiw
Entry: *cahsam | Absolutive: cahsam | Generated Absolutive: cahsamʔ
Entry: *cahta·la | Absolutive: cahtalaw | Generated Absolutive: cahta·law
Entry: *cahtošci | Absolutive: cahtoš | Generated Absolutive: cahtošciw
Entry: *cahṭʰe | Absolutive: cahṭʰe | Generated Absolutive: cahṭʰew
Entry: cahwe·nmucʼ | Absolutive: cumatʰma· cahwenmuʔ | Generated Absolutive: cahwe·nmuʔ
Entry: cakaʔna | Absolutive: cakaʔna | Generated Absolutive: cakaʔnaw
Entry: *caka·nma | Absolutive: cakanʔ | Generated Absolutive: caka·nmaw
Entry: *caki·mci | Absolutive: cakimciw | Generated Absolutive: caki·mciw
Entry: *cakʼahci | Absolutive: caʔkʼahciw | Generated Absolutive: cakʼahciw
Entry: cakʼaʔna | Absolutive: cakʼaʔna | Generated Absolutive: cakʼaʔnaw
Entry: calela·ma· | Absolutive: calela·ma· | Generated Absolutive: calela·maw
Entry: *cali·tʰma | Absolutive: calitʰmaw | Generated Absolutive: cali·tʰmaw
Entry: camhma | Absolutive: camhma | Generated Absolutive: camhmaw
Entry: *capa·šci | Absolutive: capašciw | Generated Absolutive: capa·šciw
Entry: casʼiʔda | Absolutive: casʼiʔda | Generated Absolutive: casʼiʔdaw
Entry: *caʔcʼetad | Absolutive: caʔcʼetadu | Generated Absolutive: caʔcʼeta·du
Entry: *caʔqʼoʔdiwad | Absolutive: caʔqʼoʔdowa·du | Generated Absolutive: caʔqʼoʔdiwa·du
Entry: caʔsʼo | Absolutive: caʔsʼo | Generated Absolutive: caʔsʼow
Entry: caʔyo | Absolutive: caʔyo | Generated Absolutive: caʔyow
Entry: ca·kanka | Absolutive: ca·kanka | Generated Absolutive: ca·kankaw
Entry: ca·ṭalʔṭa | Absolutive: ca·ṭalʔṭa | Generated Absolutive: ca·ṭalʔṭaw
Entry: cibaʔna | Absolutive: cibaʔna | Generated Absolutive: cibaʔnaw
Entry: cicʼa·cʼa | Absolutive: cicʼa·cʼa | Generated Absolutive: cicʼa·cʼaw
Entry: cihcʰi | Absolutive: cihcʰi | Generated Absolutive: cihcʰiw
Entry: *cihkocihkotad | Absolutive: cihkocikota·du | Generated Absolutive: cihkocihkota·du
Entry: *cihpʰohpʰo | Absolutive: cihpʰohpʰoʔ | Generated Absolutive: cihpʰohpʰow
Entry: cihsi | Absolutive: cihsi | Generated Absolutive: cihsiw
Entry: cihṭiṭi | Absolutive: cihṭiṭi | Generated Absolutive: cihṭiṭiw
Entry: cihṭʰe | Absolutive: cihṭʰe | Generated Absolutive: cihṭʰew
Entry: cihṭʰiṭi | Absolutive: cihṭʰiṭi | Generated Absolutive: cihṭʰiṭiw
Entry: *cihwisʼ | Absolutive: cihwiʔ | Generated Absolutive: cihwisʼ
Entry: cila | Absolutive: cila | Generated Absolutive: cilaw
Entry: cili·ʔcʰot | Absolutive: ciliʔcʰoʔ | Generated Absolutive: cili·ʔcʰoʔ
Entry: cinhay | Absolutive: cinhay | Generated Absolutive: cinhayʔ
Entry: ciriyo·n | Absolutive: ciriyo·n | Generated Absolutive: ciriyonʔ
Entry: citay | Absolutive: citay | Generated Absolutive: citayʔ
Entry: *citayʔta | Absolutive: cihtayʔtaw | Generated Absolutive: citayʔtaw
Entry: cita·yacol | Absolutive: cita·yacol | Generated Absolutive: cita·yacolʔ
Entry: *ciṭiṭi·ma | Absolutive: ciṭiṭimʔ | Generated Absolutive: ciṭiṭi·maw
Entry: ciwalaw | Absolutive: ciwalaw | Generated Absolutive: ciwalawʔ
Entry: ciʔba | Absolutive: ciʔba | Generated Absolutive: ciʔbaw
Entry: *ciʔdo | Absolutive: ciʔdo | Generated Absolutive: ciʔdow
Entry: *ci·cʼid | Absolutive: cicʼi·du | Generated Absolutive: ci·cʼidu
Entry: *ci·cʼqa | Absolutive: cicʼqaw | Generated Absolutive: ci·cʼqaw
Entry: *ci·cʼwacʼ | Absolutive: cicʼwaʔ | Generated Absolutive: ci·cʼwaʔ
Entry: ci·kiškiši | Absolutive: ci·kiškiši | Generated Absolutive: ci·kiškišiw
Entry: *cobo·kʼma | Absolutive: cobokʼmaw | Generated Absolutive: cobo·kʼmaw
Entry: *cohkocohkotad | Absolutive: cohkocokota·du | Generated Absolutive: cohkocohkota·du
Entry: *cohpola·tad | Absolutive: cohpolha·ta·du | Generated Absolutive: cohpola·tadu
Entry: cohpʰa | Absolutive: cohpʰa | Generated Absolutive: cohpʰaw
Entry: cohso | Absolutive: cohso | Generated Absolutive: cohsow
Entry: cohšo | Absolutive: cohšo | Generated Absolutive: cohšow
Entry: cohto | Absolutive: cohto | Generated Absolutive: cohtow
Entry: *coko·lma | Absolutive: cokolmaw | Generated Absolutive: coko·lmaw
Entry: coko·lqaw | Absolutive: cokolqaw | Generated Absolutive: coko·lqawʔ
Entry: colo | Absolutive: colo | Generated Absolutive: colow
Entry: coʔlo | Absolutive: coʔlo | Generated Absolutive: coʔlow
Entry: coʔo | Absolutive: coʔo | Generated Absolutive: coʔow
Entry: coʔqʰo | Absolutive: coʔqʰo | Generated Absolutive: coʔqʰow
Entry: *co·nʔwad | Absolutive: conʔwadu | Generated Absolutive: co·nʔwadu
Entry: cuhcʰi | Absolutive: cuhcʰi | Generated Absolutive: cuhcʰiw
Entry: cuhke | Absolutive: cuhke | Generated Absolutive: cuhkew
Entry: cuhkʰa | Absolutive: cuhkʰa | Generated Absolutive: cuhkʰaw
Entry: cuhlabay | Absolutive: cuhlabay | Generated Absolutive: cuhlabayʔ
Entry: cuhma | Absolutive: cuhma | Generated Absolutive: cuhmaw
Entry: *cuhpʰa·šma | Absolutive: cuhpʰaš | Generated Absolutive: cuhpʰa·šmaw
Entry: cuhqʰahqʰa·li | Absolutive: cuhqʰahqʰa·li | Generated Absolutive: cuhqʰahqʰa·liw
